,SpecimenName,min_yr,max_yr,SubFamily,Tribe,Genus,Reference,Amber Locale
423,Taphopone_aberrans,33.9,38,Ponerinae,,Taphopone,"Dlussky, G.M. & Perfilieva, K.S. 2014. Superfamily Formicoidea Latreille, 1802. In: Antropov, A. V., Belokobylskij, S. A., Compton, S. G., Dlussky, G. M., Khalaim, A. I., Kolyada, V. A., Kozlov, M. A., Perfilieva, K. S. & Rasnitsyn, A. P. 2014. The wasps, bees and ants (Insecta: Vespida=Hymenoptera) from the Insect Limestone (Late Eocene) of the Isle of Wight, UK. Earth and Environmental Science Transactions of the Royal Society of Edinburgh 104(3-4):335-446.",UK
424,Taphopone_microptera,33.9,38,Ponerinae,,Taphopone,"Dlussky, G.M. & Perfilieva, K.S. 2014. Superfamily Formicoidea Latreille, 1802. In: Antropov, A. V., Belokobylskij, S. A., Compton, S. G., Dlussky, G. M., Khalaim, A. I., Kolyada, V. A., Kozlov, M. A., Perfilieva, K. S. & Rasnitsyn, A. P. 2014. The wasps, bees and ants (Insecta: Vespida=Hymenoptera) from the Insect Limestone (Late Eocene) of the Isle of Wight, UK. Earth and Environmental Science Transactions of the Royal Society of Edinburgh 104(3-4):335-446.",UK
425,Taphopone_petrosa,33.9,38,Ponerinae,,Taphopone,"Dlussky, G.M. & Perfilieva, K.S. 2014. Superfamily Formicoidea Latreille, 1802. In: Antropov, A. V., Belokobylskij, S. A., Compton, S. G., Dlussky, G. M., Khalaim, A. I., Kolyada, V. A., Kozlov, M. A., Perfilieva, K. S. & Rasnitsyn, A. P. 2014. The wasps, bees and ants (Insecta: Vespida=Hymenoptera) from the Insect Limestone (Late Eocene) of the Isle of Wight, UK. Earth and Environmental Science Transactions of the Royal Society of Edinburgh 104(3-4):335-446.",UK
415,Solenopsites_minutus,46.2,50.3,Myrmicinae,,Solenopsites,"Dlussky, G.M. & Perfilieva, K.S. 2014. Superfamily Formicoidea Latreille, 1802. In: Antropov, A. V., Belokobylskij, S. A., Compton, S. G., Dlussky, G. M., Khalaim, A. I., Kolyada, V. A., Kozlov, M. A., Perfilieva, K. S. & Rasnitsyn, A. P. 2014. The wasps, bees and ants (Insecta: Vespida=Hymenoptera) from the Insect Limestone (Late Eocene) of the Isle of Wight, UK. Earth and Environmental Science Transactions of the Royal Society of Edinburgh 104(3-4):335-446.",US
334,Paraphaenogaster_tertiaria,11.608,12.7,Myrmicinae,Stenammini,Paraphaenogaster,"Dlussky, G.M. & Putyatina, T.S. 2014. Early Miocene ants (Hymenoptera, Formicidae) from Radoboj, Croatia. Neues Jahrbuch für Geologie und Paläontologie Abhandlungen 272, 237-285.",Croatia
136,Emplastus_antiquus,11.608,12.7,Dolichoderinae,,Emplastus,"Dlussky, G.M. & Putyatina, T.S. 2014. Early Miocene ants (Hymenoptera, Formicidae) from Radoboj, Croatia. Neues Jahrbuch für Geologie und Paläontologie Abhandlungen 272, 237-285.",Yugoslavia
144,Emplastus_ocellus,11.608,12.7,Dolichoderinae,,Emplastus,"Dlussky, G.M. & Putyatina, T.S. 2014. Early Miocene ants (Hymenoptera, Formicidae) from Radoboj, Croatia. Neues Jahrbuch für Geologie und Paläontologie Abhandlungen 272, 237-285.",Yugoslavia
239,Lasius_anthracinus,11.608,12.7,Formicinae,Lasiini,Lasius,"Dlussky, G.M. & Putyatina, T.S. 2014. Early Miocene ants (Hymenoptera, Formicidae) from Radoboj, Croatia. Neues Jahrbuch für Geologie und Paläontologie Abhandlungen 272, 237-285.",Croatia
242,Lasius_globularis,11.608,12.7,Formicinae,Lasiini,Lasius,"Dlussky, G.M. & Putyatina, T.S. 2014. Early Miocene ants (Hymenoptera, Formicidae) from Radoboj, Croatia. Neues Jahrbuch für Geologie und Paläontologie Abhandlungen 272, 237-285.",Croatia
244,Lasius_longaevus,11.608,12.7,Formicinae,Lasiini,Lasius,"Dlussky, G.M. & Putyatina, T.S. 2014. Early Miocene ants (Hymenoptera, Formicidae) from Radoboj, Croatia. Neues Jahrbuch für Geologie und Paläontologie Abhandlungen 272, 237-285.",Croatia
245,Lasius_longipennis,11.608,12.7,Formicinae,Lasiini,Lasius,"Dlussky, G.M. & Putyatina, T.S. 2014. Early Miocene ants (Hymenoptera, Formicidae) from Radoboj, Croatia. Neues Jahrbuch für Geologie und Paläontologie Abhandlungen 272, 237-285.",Croatia
248,Lasius_occultatus,11.608,12.7,Formicinae,Lasiini,Lasius,"Dlussky, G.M. & Putyatina, T.S. 2014. Early Miocene ants (Hymenoptera, Formicidae) from Radoboj, Croatia. Neues Jahrbuch für Geologie und Paläontologie Abhandlungen 272, 237-285.",Croatia
249,Lasius_ophthalmicus,11.608,12.7,Formicinae,Lasiini,Lasius,"Dlussky, G.M. & Putyatina, T.S. 2014. Early Miocene ants (Hymenoptera, Formicidae) from Radoboj, Croatia. Neues Jahrbuch für Geologie und Paläontologie Abhandlungen 272, 237-285.",Croatia
251,Lasius_tertiarius,11.608,12.7,Formicinae,Lasiini,Lasius,"Dlussky, G.M. & Putyatina, T.S. 2014. Early Miocene ants (Hymenoptera, Formicidae) from Radoboj, Croatia. Neues Jahrbuch für Geologie und Paläontologie Abhandlungen 272, 237-285.",Croatia
214,Gesomyrmex_bremii,11.608,12.7,Formicinae,Gesomyrmecini,Gesomyrmex,"Dlussky, G.M. & Putyatina, T.S. 2014. Early Miocene ants (Hymenoptera, Formicidae) from Radoboj, Croatia. Neues Jahrbuch für Geologie und Paläontologie Abhandlungen 272, 237-285.",Croatia
227,Heeridris_croaticus,11.608,12.7,,,,"Dlussky, G.M. & Putyatina, T.S. 2014. Early Miocene ants (Hymenoptera, Formicidae) from Radoboj, Croatia. Neues Jahrbuch für Geologie und Paläontologie Abhandlungen 272, 237-285.",Croatia
264,Liometopum_imhoffii,11.608,12.7,Dolichoderinae,,Liometopum,"Dlussky, G.M. & Putyatina, T.S. 2014. Early Miocene ants (Hymenoptera, Formicidae) from Radoboj, Croatia. Neues Jahrbuch für Geologie und Paläontologie Abhandlungen 272, 237-285.",Croatia
290,Myrmecites_latus,11.608,12.7,Myrmicinae,,Myrmecites,"Dlussky, G.M. & Putyatina, T.S. 2014. Early Miocene ants (Hymenoptera, Formicidae) from Radoboj, Croatia. Neues Jahrbuch für Geologie und Paläontologie Abhandlungen 272, 237-285.",Croatia
292,Myrmecites_pusillus,11.608,12.7,Myrmicinae,,Myrmecites,"Dlussky, G.M. & Putyatina, T.S. 2014. Early Miocene ants (Hymenoptera, Formicidae) from Radoboj, Croatia. Neues Jahrbuch für Geologie und Paläontologie Abhandlungen 272, 237-285.",Croatia
329,Paraphaenogaster_jurinei,11.608,12.7,Myrmicinae,Stenammini,Paraphaenogaster,"Dlussky, G.M. & Putyatina, T.S. 2014. Early Miocene ants (Hymenoptera, Formicidae) from Radoboj, Croatia. Neues Jahrbuch für Geologie und Paläontologie Abhandlungen 272, 237-285.",Croatia
357,Ponerites_atavinus,11.608,12.7,Ponerinae,Ponerini,Ponerites,"Dlussky, G.M. & Putyatina, T.S. 2014. Early Miocene ants (Hymenoptera, Formicidae) from Radoboj, Croatia. Neues Jahrbuch für Geologie und Paläontologie Abhandlungen 272, 237-285.",Croatia
360,Ponerites_elongatus,11.608,12.7,Ponerinae,Ponerini,Ponerites,"Dlussky, G.M. & Putyatina, T.S. 2014. Early Miocene ants (Hymenoptera, Formicidae) from Radoboj, Croatia. Neues Jahrbuch für Geologie und Paläontologie Abhandlungen 272, 237-285.",Croatia
362,Ponerites_gracilior,11.608,12.7,Ponerinae,Ponerini,Ponerites,"Dlussky, G.M. & Putyatina, T.S. 2014. Early Miocene ants (Hymenoptera, Formicidae) from Radoboj, Croatia. Neues Jahrbuch für Geologie und Paläontologie Abhandlungen 272, 237-285.",Croatia
365,Ponerites_nitidus,11.608,12.7,Ponerinae,Ponerini,Ponerites,"Dlussky, G.M. & Putyatina, T.S. 2014. Early Miocene ants (Hymenoptera, Formicidae) from Radoboj, Croatia. Neues Jahrbuch für Geologie und Paläontologie Abhandlungen 272, 237-285.",Croatia
366,Ponerites_oblongiceps,11.608,12.7,Ponerinae,Ponerini,Ponerites,"Dlussky, G.M. & Putyatina, T.S. 2014. Early Miocene ants (Hymenoptera, Formicidae) from Radoboj, Croatia. Neues Jahrbuch für Geologie und Paläontologie Abhandlungen 272, 237-285.",Croatia
367,Ponerites_tenuis,11.608,12.7,Ponerinae,Ponerini,Ponerites,"Dlussky, G.M. & Putyatina, T.S. 2014. Early Miocene ants (Hymenoptera, Formicidae) from Radoboj, Croatia. Neues Jahrbuch für Geologie und Paläontologie Abhandlungen 272, 237-285.",Croatia
368,Ponerites_umbrus,11.608,15.97,Ponerinae,Ponerini,Ponerites,"Dlussky, G.M. & Putyatina, T.S. 2014. Early Miocene ants (Hymenoptera, Formicidae) from Radoboj, Croatia. Neues Jahrbuch für Geologie und Paläontologie Abhandlungen 272, 237-285.",Croatia
323,Pachycondyla_petiolosa,40.4,48.6,Ponerinae,,Pachycondyla,"Dlussky, G.M. & Wedmann, S. 2012. The poneromorph ants of Grube Messel, Germany: high biodiversity in the Eocene. Journal of Systematic Palaeontology 10: 725-753.",Germany
324,Pachycondyla_petrosa,40.4,48.6,Ponerinae,,Pachycondyla,"Dlussky, G.M. & Wedmann, S. 2012. The poneromorph ants of Grube Messel, Germany: high biodiversity in the Eocene. Journal of Systematic Palaeontology 10: 725-753.",Germany
291,Myrmecites_major,33.9,38,Myrmicinae,,Myrmecites,"Dlussky, G.M., Rasnitsyn, A.P. & Perfilieva, K.S. 2015. The ants (Hymenoptera: Formicidae) of Bol’shaya Svetlovodnaya (Late Eocene of Sikhote-Alin, Russian Far East). Caucasian Entomoloigcal Bulletin, 11, 131-152.",Russia
81,Carebara_antiqua,2.588,3.6,Myrmicinae,Crematogastrini,Carebara,"Emery, C. 1891b. Le formiche dell'ambra Siciliana nel Museo Mineralogico dell'Università di Bologna. Mem. R. Accad. Sci. Ist. Bologna (5)1:141-165 (page 577, Combination in Aeromyrma)",Baltic
76,Camponotus_ullrichi,5.333,7.246,Formicinae,Camponotini,Camponotus,"F. Bachmayer. 1960. Insektenreste aus den Congerienschichten (Pannon) von Brunn-Vösendorf (sül. von Wien) Niederösterreich. Sitzungsberichte der Österreichische Akademie der Wissenschaften, Mathematisch-Naturwissenschaftliche Klasse 169:11-16",Austria
332,Paraphaenogaster_pannonica,5.333,7.246,,,,"F. Bachmayer. 1960. Insektenreste aus den Congerienschichten (Pannon) von Brunn-Vösendorf (sül. von Wien) Niederösterreich. Sitzungsberichte der Österreichische Akademie der Wissenschaften, Mathematisch-Naturwissenschaftliche Klasse 169:11-16",Switzerland
201,Formicium_berryi,38,41.3,Formiciinae,,Formicium,F. M. Carpenter. 1929. A fossil ant from the lower Eocene (Wilcox) of Tennessee. Journal of the Washington Academy of Sciences 19:300-301 ,Tennessee
21,Aphaenogaster_donisthorpei,33.9,37.2,Myrmicinae,Stenammini,Aphaenogaster,"F. M. Carpenter. 1930. The Fossil Ants of North America. Bulletin of the Museum of Comparative Zoology, Harvard University 70:1-66",Colorado
22,Aphaenogaster_mayri,33.9,37.2,Myrmicinae,Stenammini,Aphaenogaster,"F. M. Carpenter. 1930. The Fossil Ants of North America. Bulletin of the Museum of Comparative Zoology, Harvard University 70:1-66",Colorado
29,Archiponera_wheeleri,33.9,37.2,Ponerinae,Ponerini,Archiponera,"F. M. Carpenter. 1930. The Fossil Ants of North America. Bulletin of the Museum of Comparative Zoology, Harvard University 70:1-66",Colorado
60,Camponotus_fuscipennis,33.9,37.2,Formicinae,Camponotini,Camponotus,"F. M. Carpenter. 1930. The Fossil Ants of North America. Bulletin of the Museum of Comparative Zoology, Harvard University 70:1-66",Colorado
66,Camponotus_microcephalus,33.9,37.2,Formicinae,Camponotini,Camponotus,"F. M. Carpenter. 1930. The Fossil Ants of North America. Bulletin of the Museum of Comparative Zoology, Harvard University 70:1-66",Colorado
71,Camponotus_petrifactus,33.9,37.2,Formicinae,Camponotini,Camponotus,"F. M. Carpenter. 1930. The Fossil Ants of North America. Bulletin of the Museum of Comparative Zoology, Harvard University 70:1-66",Colorado
93,Cephalomyrmex_rotundatus,33.9,37.2,Myrmicinae,,Cephalomyrmex,"F. M. Carpenter. 1930. The Fossil Ants of North America. Bulletin of the Museum of Comparative Zoology, Harvard University 70:1-66",Colorado
117,Dolichoderus_antiquus,33.9,37.2,Dolichoderinae,,Dolichoderus,"F. M. Carpenter. 1930. The Fossil Ants of North America. Bulletin of the Museum of Comparative Zoology, Harvard University 70:1-66",Colorado
128,Dolichoderus_rohweri,33.9,37.2,Dolichoderinae,,Dolichoderus,"F. M. Carpenter. 1930. The Fossil Ants of North America. Bulletin of the Museum of Comparative Zoology, Harvard University 70:1-66",Colorado
132,Elaeomyrmex_coloradensis,33.9,37.2,Dolichoderinae,,Elaeomyrmex,"F. M. Carpenter. 1930. The Fossil Ants of North America. Bulletin of the Museum of Comparative Zoology, Harvard University 70:1-66",Colorado
133,Elaeomyrmex_gracilis,33.9,37.2,Dolichoderinae,,Elaeomyrmex,"F. M. Carpenter. 1930. The Fossil Ants of North America. Bulletin of the Museum of Comparative Zoology, Harvard University 70:1-66",Colorado
168,Formica_cockerelli,33.9,37.2,Formicinae,Formicini,Formica,"F. M. Carpenter. 1930. The Fossil Ants of North America. Bulletin of the Museum of Comparative Zoology, Harvard University 70:1-66",Colorado
174,Formica_grandis,33.9,37.2,Formicinae,Formicini,Formica,"F. M. Carpenter. 1930. The Fossil Ants of North America. Bulletin of the Museum of Comparative Zoology, Harvard University 70:1-66",Colorado
196,Formica_robusta,33.9,37.2,Formicinae,Formicini,Formica,"F. M. Carpenter. 1930. The Fossil Ants of North America. Bulletin of the Museum of Comparative Zoology, Harvard University 70:1-66",Colorado
230,Iridomyrmex,33.9,37.2,Dolichoderinae,Leptomyrmecini,,"F. M. Carpenter. 1930. The Fossil Ants of North America. Bulletin of the Museum of Comparative Zoology, Harvard University 70:1-66",Colorado
267,Liometopum_miocenicum,33.9,37.2,Dolichoderinae,,Liometopum,"F. M. Carpenter. 1930. The Fossil Ants of North America. Bulletin of the Museum of Comparative Zoology, Harvard University 70:1-66",Colorado
269,Liometopum_scudderi,33.9,37.2,Dolichoderinae,,Liometopum,"F. M. Carpenter. 1930. The Fossil Ants of North America. Bulletin of the Museum of Comparative Zoology, Harvard University 70:1-66",Colorado
277,Messor_sculpturatus,33.9,37.2,Myrmicinae,Stenammini,Messor,"F. M. Carpenter. 1930. The Fossil Ants of North America. Bulletin of the Museum of Comparative Zoology, Harvard University 70:1-66",Colorado
279,Mianeuretus_mirabilis,33.9,37.2,Aneuretinae,,Mianeuretus,"F. M. Carpenter. 1930. The Fossil Ants of North America. Bulletin of the Museum of Comparative Zoology, Harvard University 70:1-66",Colorado
280,Miomyrmex_impactus,33.9,37.2,Dolichoderinae,,Miomyrmex,"F. M. Carpenter. 1930. The Fossil Ants of North America. Bulletin of the Museum of Comparative Zoology, Harvard University 70:1-66",Colorado
281,Miomyrmex_striatus,33.9,37.2,Dolichoderinae,,Miomyrmex,"F. M. Carpenter. 1930. The Fossil Ants of North America. Bulletin of the Museum of Comparative Zoology, Harvard University 70:1-66",Colorado
337,Petraeomyrmex_minimus,33.9,37.2,Dolichoderinae,,Petraeomyrmex,"F. M. Carpenter. 1930. The Fossil Ants of North America. Bulletin of the Museum of Comparative Zoology, Harvard University 70:1-66",Colorado
340,Pheidole_tertiaria,33.9,37.2,Myrmicinae,Attini,Pheidole,"F. M. Carpenter. 1930. The Fossil Ants of North America. Bulletin of the Museum of Comparative Zoology, Harvard University 70:1-66",Colorado
346,Pogonomyrmex_fossilis,33.9,37.2,Myrmicinae,Pogonomyrmecini,Pogonomyrmex,"F. M. Carpenter. 1930. The Fossil Ants of North America. Bulletin of the Museum of Comparative Zoology, Harvard University 70:1-66",Colorado
388,Protazteca_capitata,33.9,37.2,Dolichoderinae,,Protazteca,"F. M. Carpenter. 1930. The Fossil Ants of North America. Bulletin of the Museum of Comparative Zoology, Harvard University 70:1-66",Colorado
389,Protazteca_elongata,33.9,37.2,Dolichoderinae,,Protazteca,"F. M. Carpenter. 1930. The Fossil Ants of North America. Bulletin of the Museum of Comparative Zoology, Harvard University 70:1-66",Colorado
392,Protazteca_quadrata,33.9,37.2,Dolichoderinae,,Protazteca,"F. M. Carpenter. 1930. The Fossil Ants of North America. Bulletin of the Museum of Comparative Zoology, Harvard University 70:1-66",Colorado
402,Pseudomyrmex_extinctus,33.9,37.2,Pseudomyrmecinae,,Pseudomyrmex,"F. M. Carpenter. 1930. The Fossil Ants of North America. Bulletin of the Museum of Comparative Zoology, Harvard University 70:1-66",Colorado
401,Pseudocamponotus_elkoanus,28.4,37.2,Formicinae,Camponotini,Pseudocamponotus,"F. M. Carpenter. 1930. The Fossil Ants of North America. Bulletin of the Museum of Comparative Zoology, Harvard University 70:1-66",US
19,Aphaenogaster_archaica,23.03,28.4,Myrmicinae,Stenammini,Aphaenogaster,F. Meunier. 1915. Über einige fossile Insekten aus den Braunkohlenschichten (Aquitanien) von Rott (Siebengebirge). Zeitschrift der Deutschen Geologischen Gesellschaft 67:205-217,
163,Formica_bauckhorni,23.03,28.4,Formicinae,Formicini,Formica,F. Meunier. 1915. Über einige fossile Insekten aus den Braunkohlenschichten (Aquitanien) von Rott (Siebengebirge). Zeitschrift der Deutschen Geologischen Gesellschaft 67:205-217,"Rott, Germany"
86,Carebara_thorali,23.03,28.1,Myrmicinae,Crematogastrini,Carebara,"Fernández, F. 2004a. The American species of the myrmicine ant genus Carebara Westwood (Hymentoptera: Formicidae). Caldasia 26(1): 191-238 (page 235, Combination in Carebara)",France
0,Acanthognathus_poinari,13.82,20.44,Myrmicinae,Attini,Acanthognathus,"First description of fossil Dacetini ants with a critical analysis of the current classification of the tribe (amber collection Stuttgart: Hymenoptera, Formicidae. VI: Dacetini)",Dominican
421,Strumigenys_electrina,13.82,20.44,Myrmicinae,Attini,Strumigenys,"First description of fossil Dacetini ants with a critical analysis of the current classification of the tribe (amber collection Stuttgart: Hymenoptera, Formicidae. VI: Dacetini)",Dominican
422,Strumigenys_schleeorum,13.82,20.44,Myrmicinae,Attini,Strumigenys,"First description of fossil Dacetini ants with a critical analysis of the current classification of the tribe (amber collection Stuttgart: Hymenoptera, Formicidae. VI: Dacetini)",Dominican
84,Carebara_schossnicensis,5.333,11.608,Myrmicinae,Crematogastrini,Carebara,"Fischer, G., Azorsa, F. & Fisher, B.L. 2014. The ant genus Carebara Westwood (Hymenoptera, Formicidae): synonymisation of Pheidologeton Mayr under Carebara, establishment and revision of the C. polita species group. ZooKeys 438: 57–112.",Germany
85,Carebara_sophiae,5.333,11.608,Myrmicinae,Crematogastrini,Carebara,"Fischer, G., Azorsa, F. & Fisher, B.L. 2014. The ant genus Carebara Westwood (Hymenoptera, Formicidae): synonymisation of Pheidologeton Mayr under Carebara, establishment and revision of the C. polita species group. ZooKeys 438: 57–112.",Germany
379,Pristomyrmex_rasnitsyni,33.9,38,Myrmicinae,Crematogastrini,Pristomyrmex,"Full reference: G. M. Dlussky and A. G. Radchenko. 2011. Pristomyrmex rasnitsyni sp. n., the first known fossil species of the ant genus Pristomyrmex Mayr (Hymenoptera: Formicidae) from the Late Eocene Danish amber. Russian Entomological Journal 20:251-254",Danish
344,Plesiomyrmex_tubulatus,33.9,38,Myrmicinae,Myrmicini,Plesiomyrmex,G. M. Dlussky and A. G. Radchenko. 2009. Two new primitive ant genera from the late Eocene European ambers. Acta Palaeontologica Polonica 54:435-441,Germany
393,Protomyrmica_atavia,33.9,38,Myrmicinae,Myrmicini,Protomyrmica,G. M. Dlussky and A. G. Radchenko. 2009. Two new primitive ant genera from the late Eocene European ambers. Acta Palaeontologica Polonica 54:435-441,Russia
49,Camponotites_kraussei,47.8,56,,,,G. M. Dlussky and A. P. Rasnitsyn. 1999. Two new species of aculeate hymenopterans (Vespida=Hymenoptera) from the Middle Eocene of the United States. Paleontological Journal 33:546-549 ,Washington
387,Propalosoma_gutierrezae,47.8,56,,,,G. M. Dlussky and A. P. Rasnitsyn. 1999. Two new species of aculeate hymenopterans (Vespida=Hymenoptera) from the Middle Eocene of the United States. Paleontological Journal 33:546-549 ,US
278,Mianeuretus_eocenicus,46.2,50.3,Aneuretinae,,Mianeuretus,G. M. Dlussky and A. P. Rasnitsyn. 2002. Ants (Hymenoptera: Formicidae) of Formation Green River and some other middle Eocene deposits of North America. Russian Entomological Journal 11:411-436,Tennessee
386,Proiridomyrmex_vetulus,46.2,50.3,Dolichoderinae,,Proiridomyrmex,G. M. Dlussky and A. P. Rasnitsyn. 2002. Ants (Hymenoptera: Formicidae) of Formation Green River and some other middle Eocene deposits of North America. Russian Entomological Journal 11:411-436,Tennessee
26,Archimyrmex_piatnitzkyi,41.3,47.8,Myrmeciinae,,Archimyrmex,"G. M. Dlussky and K. S. Perfilieva. 2003. Paleogene ants of the genus Archimyrmex Cockerell, 1923 (Hymenoptera, Formicidae, Myrmeciinae). Paleontological Journal 37:39-47",Argentine
87,Casaleia_eocenica,40.4,48.6,Amblyoponinae,,Casaleia,"G. M. Dlussky and S. Wedmann. 2012. The poneromorph ants (Hymenoptera, Formicidae: Amblyoponinae, Ectatomminae, Ponerinae) of Grube Messel, Germany: high biodiversity in the Eocene. ",Grube Messel
94,Cephalopone_grandis,40.4,48.6,Ponerinae,,Cephalopone,"G. M. Dlussky and S. Wedmann. 2012. The poneromorph ants (Hymenoptera, Formicidae: Amblyoponinae, Ectatomminae, Ponerinae) of Grube Messel, Germany: high biodiversity in the Eocene. ",Grube Messel
95,Cephalopone_potens,40.4,48.6,Ponerinae,,Cephalopone,"G. M. Dlussky and S. Wedmann. 2012. The poneromorph ants (Hymenoptera, Formicidae: Amblyoponinae, Ectatomminae, Ponerinae) of Grube Messel, Germany: high biodiversity in the Eocene. ",Grube Messel
109,Cyrtopone_curiosa,40.4,48.6,Ponerinae,,Cyrtopone,"G. M. Dlussky and S. Wedmann. 2012. The poneromorph ants (Hymenoptera, Formicidae: Amblyoponinae, Ectatomminae, Ponerinae) of Grube Messel, Germany: high biodiversity in the Eocene. ",Grube Messel
110,Cyrtopone_elongata,40.4,48.6,Ponerinae,,Cyrtopone,"G. M. Dlussky and S. Wedmann. 2012. The poneromorph ants (Hymenoptera, Formicidae: Amblyoponinae, Ectatomminae, Ponerinae) of Grube Messel, Germany: high biodiversity in the Eocene. ",Grube Messel
111,Cyrtopone_microcephala,40.4,48.6,Ponerinae,,Cyrtopone,"G. M. Dlussky and S. Wedmann. 2012. The poneromorph ants (Hymenoptera, Formicidae: Amblyoponinae, Ectatomminae, Ponerinae) of Grube Messel, Germany: high biodiversity in the Eocene. ",Grube Messel
112,Cyrtopone_striata,40.4,48.6,Ponerinae,,Cyrtopone,"G. M. Dlussky and S. Wedmann. 2012. The poneromorph ants (Hymenoptera, Formicidae: Amblyoponinae, Ectatomminae, Ponerinae) of Grube Messel, Germany: high biodiversity in the Eocene. ",Grube Messel
275,Messelepone_leptogenoides,40.4,48.6,Ponerinae,,Messelepone,"G. M. Dlussky and S. Wedmann. 2012. The poneromorph ants (Hymenoptera, Formicidae: Amblyoponinae, Ectatomminae, Ponerinae) of Grube Messel, Germany: high biodiversity in the Eocene. ",Grube Messel
316,Pachycondyla_eocenica,40.4,48.6,Ponerinae,,Pachycondyla,"G. M. Dlussky and S. Wedmann. 2012. The poneromorph ants (Hymenoptera, Formicidae: Amblyoponinae, Ectatomminae, Ponerinae) of Grube Messel, Germany: high biodiversity in the Eocene. ",Grube Messel
317,Pachycondyla_lutzi,40.4,48.6,Ponerinae,,Pachycondyla,"G. M. Dlussky and S. Wedmann. 2012. The poneromorph ants (Hymenoptera, Formicidae: Amblyoponinae, Ectatomminae, Ponerinae) of Grube Messel, Germany: high biodiversity in the Eocene. ",Grube Messel
318,Pachycondyla_messeliana,40.4,48.6,Ponerinae,,Pachycondyla,"G. M. Dlussky and S. Wedmann. 2012. The poneromorph ants (Hymenoptera, Formicidae: Amblyoponinae, Ectatomminae, Ponerinae) of Grube Messel, Germany: high biodiversity in the Eocene. ",Grube Messel
394,Protopone_germanica,40.4,48.6,Ponerinae,,Protopone,"G. M. Dlussky and S. Wedmann. 2012. The poneromorph ants (Hymenoptera, Formicidae: Amblyoponinae, Ectatomminae, Ponerinae) of Grube Messel, Germany: high biodiversity in the Eocene. ",Grube Messel
395,Protopone_magna,40.4,48.6,Ponerinae,,Protopone,"G. M. Dlussky and S. Wedmann. 2012. The poneromorph ants (Hymenoptera, Formicidae: Amblyoponinae, Ectatomminae, Ponerinae) of Grube Messel, Germany: high biodiversity in the Eocene. ",Grube Messel
396,Protopone_oculata,40.4,48.6,Ponerinae,,Protopone,"G. M. Dlussky and S. Wedmann. 2012. The poneromorph ants (Hymenoptera, Formicidae: Amblyoponinae, Ectatomminae, Ponerinae) of Grube Messel, Germany: high biodiversity in the Eocene. ",Grube Messel
397,Protopone_sepulta,40.4,48.6,Ponerinae,,Protopone,"G. M. Dlussky and S. Wedmann. 2012. The poneromorph ants (Hymenoptera, Formicidae: Amblyoponinae, Ectatomminae, Ponerinae) of Grube Messel, Germany: high biodiversity in the Eocene. ",Grube Messel
398,Protopone_vetula,40.4,48.6,Ponerinae,,Protopone,"G. M. Dlussky and S. Wedmann. 2012. The poneromorph ants (Hymenoptera, Formicidae: Amblyoponinae, Ectatomminae, Ponerinae) of Grube Messel, Germany: high biodiversity in the Eocene. ",Grube Messel
399,Pseudectatomma_eocenica,40.4,48.6,Ectatomminae,,Pseudectatomma,"G. M. Dlussky and S. Wedmann. 2012. The poneromorph ants (Hymenoptera, Formicidae: Amblyoponinae, Ectatomminae, Ponerinae) of Grube Messel, Germany: high biodiversity in the Eocene. ",Grube Messel
400,Pseudectatomma_striatula,40.4,48.6,Ectatomminae,,Pseudectatomma,"G. M. Dlussky and S. Wedmann. 2012. The poneromorph ants (Hymenoptera, Formicidae: Amblyoponinae, Ectatomminae, Ponerinae) of Grube Messel, Germany: high biodiversity in the Eocene. ",Grube Messel
5,Agastomyrma_laticeps,33.9,38,Myrmicinae,,Agastomyrma,"G. M. Dlussky, A. P. Rasnitsyn, and K. S. Perfilieva. 2015. The ants (Hymenoptera: Formicidae) of Bol'shaya Svetlovodnaya (late Eocene of Sikhote-Alin, Russian far east). Caucasian Entomological Bulletin 11:131-152",Bolshaya Svetlovodnaya
39,Biamomyrma_lata,33.9,38,Myrmicinae,,Biamomyrma,"G. M. Dlussky, A. P. Rasnitsyn, and K. S. Perfilieva. 2015. The ants (Hymenoptera: Formicidae) of Bol'shaya Svetlovodnaya (late Eocene of Sikhote-Alin, Russian far east). Caucasian Entomological Bulletin 11:131-152",Bolshaya Svetlovodnaya
40,Biamomyrma_rugosa,33.9,38,Myrmicinae,,Biamomyrma,"G. M. Dlussky, A. P. Rasnitsyn, and K. S. Perfilieva. 2015. The ants (Hymenoptera: Formicidae) of Bol'shaya Svetlovodnaya (late Eocene of Sikhote-Alin, Russian far east). Caucasian Entomological Bulletin 11:131-152",Bolshaya Svetlovodnaya
41,Biamomyrma_zherikhini,33.9,38,Myrmicinae,,Biamomyrma,"G. M. Dlussky, A. P. Rasnitsyn, and K. S. Perfilieva. 2015. The ants (Hymenoptera: Formicidae) of Bol'shaya Svetlovodnaya (late Eocene of Sikhote-Alin, Russian far east). Caucasian Entomological Bulletin 11:131-152",Bolshaya Svetlovodnaya
89,Casaleia_orientalis,33.9,38,Amblyoponinae,,Casaleia,"G. M. Dlussky, A. P. Rasnitsyn, and K. S. Perfilieva. 2015. The ants (Hymenoptera: Formicidae) of Bol'shaya Svetlovodnaya (late Eocene of Sikhote-Alin, Russian far east). Caucasian Entomological Bulletin 11:131-152",Bolshaya Svetlovodnaya
