taxon	age
Mesoponera_ingesta	0
Carebara_sp_2	0
Meranoplus_castaneus	0
Atta_sp	0
Aphaenogaster_occidentalis	0
Sphinctomyrmex_sp	0
Cataulacus_ebrardi	0
Doleromyrma_darwiniana	0
Iridomyrmex_spadius	0
Proceratium_stictum	0
Apterogyna_ZA01	0
Nylanderia_sp_FIJ01	0
Neoponera_villosa	0
Myrcidris_epicharis	0
Diplomorium_longipenne	0
Monomorium_madecassum	0
Kempfidris_inusuale	0
Calomyrmex_albertisi	0
Ocymyrmex_picardi	0
Tranopelta_gilva	0
Cyphoidris_exalta	0
Lordomyrma_desupra	0
Anoplolepis_gracilipes_Sc	0
Vitsika_suspicax	0
Dorylus_GA01	0
Nylanderia_sp_GUY03	0
Forelius_pruinosus	0
Ectatomma_opaciventre	0
Trichomyrmex_oscaris	0
Mayriella_transfuga	0
Pheidole_pallidula	0
Forelius_sp	0
Strumigenys_dicomas	0
Austroponera_castanea	0
Rhopalomastix_janeti	0
Acropyga_epedana	0
Crematogaster_emeryana	0
Temnothorax_rugatulus	0
Solenopsis_fugax	0
Kalathomyrmex_emeryi	0
Eurhopalothrix_australis	0
Cerapachys_splendens	0
Martialis_heureka	0
Dolichoderus_imitator	0
Malagidris_jugum	0
Myopopone_castanea	0
Dorylus_wilverthi	0
Cerapachys_TH03	0
Monomorium_denticulatum	0
Cardiocondyla_thoracica	0
Myrmoteras_williamsi	0
Aenictus_sp2	0
Solenopsis_mameti	0
Basiceros_manni	0
Simopelta_sp_Ecu2	0
Pseudolasius_australis	0
Pogonomyrmex_vermiculatus	0
Aenictogiton_UG01	0
Ochetomyrmex_semipolitus	0
Anonychomyrma_gilberti	0
Temnothorax_kutteri	0
Simopone_latiscapa	0
Mayriella_ebbei	0
Crematogaster_kelleri	0
Cerapachys_typhlus	0
Carebara_affinis	0
Tapinoma_opacum	0
Myrmecorhynchus_sp	0
Dinoponera_gigantea	0
Buniapone_amblyops	0
Leptogenys_occidentalis	0
Nylanderia_sp_DMR01	0
Cerapachys_MG14	0
Paraparatrechina_sp_PHL03	0
Harpegnathos_saltator	0
Tetramorium_kutteri	0
Anochetus_mayri	0
Neoponera_apicalis	0
Mycetarotes_acutus	0
Probolomyrmex_tani	0
Syllophopsis_fisheri	0
Vollenhovia_sp	0
Iridomyrmex_pallidus	0
Megalomyrmex_silvestrii	0
Adelomyrmex_SC01	0
Neoponera_aenescens	0
Pachycondyla_crassinoda	0
Cerapachys_MG42	0
Ochetellus_cf_glaber_clarithorax	0
Strumigenys_hoplites	0
Amyrmex_BR01	0
Eurhopalothrix_gravis	0
Mesostruma_browni	0
Diacamma_sp	0
Nesomyrmex_madecassus	0
Cylindromyrmex_striatus	0
Stenamma_expolitum	0
Tetramorium_taylori	0
Dolichoderus_erectilobus	0
Adlerzia_froggatti	0
Protanilla_sp	0
Simopone_dryas	0
Talaridris_mandibularis	0
Pheidole_lucioccipitalis	0
Nylanderia_amblyops_a	0
Anonychomyrma_nitidiceps	0
Aphaenogaster_texana	0
Tetramorium_atratulum	0
Cryptopone_gilva	0
Strumigenys_emmae	0
Strumigenys_rogeri	0
Trachymyrmex_jamaicensis	0
Opisthopsis_respiciens	0
Dacatria_templaris	0
Oxyepoecus_vezenyii	0
Tetramorium_MG125	0
Tetraponera_rufonigra	0
Rogeria_nevadensis	0
Tetramorium_caespitum_cf	0
Dinoponera_australis	0
Bothroponera_variolosa	0
Acanthostichus_punctiscapus	0
Lasius_latipes	0
Dilobocondyla_borneensis_cf	0
Nylanderia_faisonensis	0
Strumigenys_maxillaris	0
Brachyponera_atrata	0
Strumigenys_biolleyi	0
Cerapachys_TH01	0
Prenolepis_imparis	0
Polyrhachis_Cyrto01	0
Nylanderia_sp_GUY01	0
Liomyrmex_gestroi	0
Temnothorax_poeyi	0
Centromyrmex_hamulatus	0
Nylanderia_cf_pubens	0
Strongylognathus_testaceus	0
Aphaenogaster_albisetosa	0
Mystrium_mysticum	0
Solenopsis_succinea	0
Tetraponera_punctulata	0
Hypoponera_inexorata	0
Nesomyrmex_echinatinodis	0
Rhytidoponera_metallica	0
Discothyrea_sp	0
Tranopelta_subterranea	0
Carebara_sp_3	0
Simopone_marleyi	0
Bothriomyrmex_meridionalis	0
Aenictus_eugenii	0
Pheidole_longispinosa	0
Camponotus_ocreatus	0
Axinidris_mlalu	0
Carebara_sp	0
Apterostigma_sp	0
Plagiolepis_sp	0
Strumigenys_ocypete	0
Eurhopalothrix_philippina	0
