,SpecimenName,min_yr,max_yr,SubFamily,Tribe,Genus
143,Emplastus macrops,33.9,38.,Dolichoderinae,,Emplastus
144,Emplastus ocellus,11.608,12.7,Dolichoderinae,,Emplastus
145,Eocenomyrma breviscapa,33.9,38.,Myrmicinae,Crematogastrini,Eocenomyrma
146,Eocenomyrma elegantula,33.9,38.,Myrmicinae,Crematogastrini,Eocenomyrma
147,Eocenomyrma orthospina,33.9,38.,Myrmicinae,Crematogastrini,Eocenomyrma
148,Eocenomyrma rugosostriata,33.9,38.,Myrmicinae,Crematogastrini,Eocenomyrma
149,Eocenomyrma ukrainica,33.9,38.,Myrmicinae,Crematogastrini,Eocenomyrma
150,Eoformica globularis,46.2,50.3,,,Eoformica
151,Eoformica magna,46.2,50.3,,,Eoformica
152,Eoformica pinguis,46.2,50.3,,,Eoformica
153,Eotapinoma macalpini,70.6,83.5,Dolichoderinae,,Eotapinoma
154,Eulithomyrmex rugosus,33.9,37.2,Agroecomyrmecinae,,Eulithomyrmex
155,Eulithomyrmex striatus,33.9,37.2,Agroecomyrmecinae,,Eulithomyrmex
156,Eurymyrmex geologicus,15.97,20.44,Dolichoderinae,,Eurymyrmex
157,Fallomyrma transversa,33.9,38.,Myrmicinae,,Fallomyrma
158,Fonsecahymen stigmata,33.9,38.,,,Fonsecahymen
159,Formica,11.608,12.7,Formicinae,Formicini,
160,Formica annosa,41.3,47.8,Formicinae,Formicini,Formica
161,Formica arcana,23.03,33.9,Formicinae,Formicini,Formica
162,Formica auxillacensis,5.333,7.246 8.7  ,Formicinae,Formicini,Formica
163,Formica bauckhorni,23.03,28.4,Formicinae,Formicini,Formica
164,Formica biamoensis,33.9,38.,Formicinae,Formicini,Formica
165,Formica buphthalma,15.97,16.9,Formicinae,Formicini,Formica
166,Formica cantalica,7.246,11.62,Formicinae,Formicini,Formica
167,Formica ceps,15.97,20.44,Formicinae,Formicini,Formica
168,Formica cockerelli,33.9,37.2,Formicinae,Formicini,Formica
169,Formica demersa,11.608,12.7,Formicinae,Formicini,Formica
170,Formica eoptera,33.9,37.2,Formicinae,Formicini,Formica
171,Formica flavifemoralis,15.97,20.44,Formicinae,Formicini,Formica
172,Formica flori,33.9,38.,Formicinae,Formicini,Formica
173,Formica globiventris,11.608,12.7,Formicinae,Formicini,Formica
174,Formica grandis,33.9,37.2,Formicinae,Formicini,Formica
175,Formica gravida,11.608,12.7,Formicinae,Formicini,Formica
176,Formica heteroptera,41.3,47.8,Formicinae,Formicini,Formica
177,Formica immersa,11.608,12.7,Formicinae,Formicini,Formica
178,Formica lavateri,11.608,12.7,Formicinae,Formicini,Formica
179,Formica linquensis,15.97,20.44,Formicinae,Formicini,Formica
180,Formica longicollis,11.608,12.7,Formicinae,Formicini,Formica
181,Formica macrocephala,11.608,12.7,Formicinae,Formicini,Formica
182,Formica macrophthalma,11.608,12.7,Formicinae,Formicini,Formica
183,Formica maculipennis,5.333,7.246 8.7  ,Formicinae,Formicini,Formica
184,Formica martynovi,11.608,12.7,Formicinae,Formicini,Formica
185,Formica obscura,11.608,12.7,Formicinae,Formicini,Formica
186,Formica orbata,11.608,12.7,Formicinae,Formicini,Formica
187,Formica ovala,15.97,20.44,Formicinae,Formicini,Formica
188,Formica paleosibirica,33.9,38.,Formicinae,Formicini,Formica
189,Formica parexsecta,11.608,12.7,Formicinae,Formicini,Formica
190,Formica phaethusa,33.9,38.,Formicinae,Formicini,Formica
191,Formica pitoni,2.588,3.6,Formicinae,Formicini,Formica
192,Formica primitiva,11.608,12.7,Formicinae,Formicini,Formica
193,Formica primordialis,11.608,12.7,Formicinae,Formicini,Formica
194,Formica procera,11.608,12.7,Formicinae,Formicini,Formica
195,Formica pulchella,11.608,12.7,Formicinae,Formicini,Formica
196,Formica robusta,33.9,37.2,,,
197,Formica seuberti,11.608,12.7,Formicinae,Formicini,Formica
198,Formica ungeri,11.608,12.7,Formicinae,Formicini,Formica
199,Formicidae,47.8   11.608 28.4   33.9  ,56.  12.7 33.9 38. ,,,
200,Formicinae,11.608 23.03 ,12.7 28.4,,,
201,Formicium berryi,38.,41.3,Formiciinae,,Formicium
202,Formicium brodiei,33.9,38.,Formiciinae,,Formicium
203,Formicium mirabile,41.3,47.8,Formiciinae,,Formicium
204,Gerontoformica contegus,93.5,99.6,Sphecomyrminae,Sphecomyrmini,Gerontoformica
205,Gerontoformica gracilis,93.5,99.6,Sphecomyrminae,Sphecomyrmini,Gerontoformica
206,Gerontoformica magnus,93.5,99.6,Sphecomyrminae,Sphecomyrmini,Gerontoformica
207,Gerontoformica orientalis,93.5,99.6,Sphecomyrminae,Sphecomyrmini,Gerontoformica
208,Gerontoformica pilosus,93.5,99.6,Sphecomyrminae,Sphecomyrmini,Gerontoformica
209,Gerontoformica robustus,93.5,99.6,,,
210,Gerontoformica rugosus,93.5,99.6,Sphecomyrminae,Sphecomyrmini,Gerontoformica
211,Gerontoformica spiralis,93.5,99.6,Sphecomyrminae,Sphecomyrmini,Gerontoformica
212,Gerontoformica subcuspis,93.5,99.6,Sphecomyrminae,Sphecomyrmini,Gerontoformica
213,Gerontoformica tendir,93.5,99.6,Sphecomyrminae,Sphecomyrmini,Gerontoformica
214,Gesomyrmex bremii,11.608,12.7,Formicinae,Gesomyrmecini,Gesomyrmex
215,Gesomyrmex breviceps,40.4,48.6,Formicinae,Gesomyrmecini,Gesomyrmex
216,Gesomyrmex flavescens,40.4,48.6,Formicinae,Gesomyrmecini,Gesomyrmex
217,Gesomyrmex germanicus,40.4,48.6,Formicinae,Gesomyrmecini,Gesomyrmex
218,Gesomyrmex hoernesi,33.9,38.,Formicinae,Gesomyrmecini,Gesomyrmex
219,Gesomyrmex macrops,33.9,38.,Formicinae,Gesomyrmecini,Gesomyrmex
220,Gesomyrmex magnus,33.9,38.,Formicinae,Gesomyrmecini,Gesomyrmex
221,Gesomyrmex pulcher,40.4,48.6,Formicinae,Gesomyrmecini,Gesomyrmex
222,Gnamptogenys levinates,13.82,20.44,Ectatomminae,Ectatommini,Gnamptogenys
223,Gnamptogenys pristina,13.82,20.44,Ectatomminae,Ectatommini,Gnamptogenys
224,Haidomyrmex cerberus,93.5,99.6,Sphecomyrminae,Haidomyrmecini,Haidomyrmex
225,Haidomyrmex scimitarus,93.5,99.6,Sphecomyrminae,Haidomyrmecini,Haidomyrmex
226,Haidomyrmex zigrasi,93.5,99.6,Sphecomyrminae,Haidomyrmecini,Haidomyrmex
227,Heeridris croaticus,11.608,12.7,,,
