Specimen,subfamily,Tribe,Genus
Gerontoformica_rugosus,Sphecomyrminae,Sphecomyrmini,Gerontoformica
Gerontoformica_spiralis,Sphecomyrminae,Sphecomyrmini,Gerontoformica
Gerontoformica_subcuspis,Sphecomyrminae,Sphecomyrmini,Gerontoformica
Gerontoformica_tendir,Sphecomyrminae,Sphecomyrmini,Gerontoformica
Gesomyrmex_bremii,Formicinae,Gesomyrmecini,Gesomyrmex
Gesomyrmex_breviceps,Formicinae,Gesomyrmecini,Gesomyrmex
Gesomyrmex_flavescens,Formicinae,Gesomyrmecini,Gesomyrmex
Gesomyrmex_germanicus,Formicinae,Gesomyrmecini,Gesomyrmex
Gesomyrmex_hoernesi,Formicinae,Gesomyrmecini,Gesomyrmex
Gesomyrmex_macrops,Formicinae,Gesomyrmecini,Gesomyrmex
Gesomyrmex_magnus,Formicinae,Gesomyrmecini,Gesomyrmex
Gesomyrmex_pulcher,Formicinae,Gesomyrmecini,Gesomyrmex
Gnamptogenys_levinates,Ectatomminae,Ectatommini,Gnamptogenys
Gnamptogenys_pristina,Ectatomminae,Ectatommini,Gnamptogenys
Haidomyrmex_cerberus,Sphecomyrminae,Haidomyrmecini,Haidomyrmex
Haidomyrmex_scimitarus,Sphecomyrminae,Haidomyrmecini,Haidomyrmex
Haidomyrmex_zigrasi,Sphecomyrminae,Haidomyrmecini,Haidomyrmex
Hypopomyrmex_bombiccii,Myrmicinae,Crematogastrini,Hypopomyrmex
Imhoffia_nigra,Formicinae,,Imhoffia
Iridomyrmex,Dolichoderinae,Leptomyrmecini,
Iridomyrmex_shandongicus,Dolichoderinae,,Iridomyrmex
Klondikia_whiteae,,,Klondikia
Kohlsimyrma_gracilis,,,Kohlsimyrma
Kohlsimyrma_laticeps,,,Kohlsimyrma
Kohlsimyrma_longiceps,,,Kohlsimyrma
Ktunaxia_jucunda,Dolichoderinae,,Ktunaxia
Kyromyrma_neffi,Formicinae,,Kyromyrma
Lasius,Formicinae,Lasiini,
Lasius_anthracinus,Formicinae,Lasiini,Lasius
Lasius_chambonensis,Formicinae,Lasiini,Lasius
Lasius_crispus,Formicinae,Lasiini,Lasius
Lasius_globularis,Formicinae,Lasiini,Lasius
Lasius_inflatus,Formicinae,Lasiini,Lasius
Lasius_longaevus,Formicinae,Lasiini,Lasius
Lasius_longipennis,Formicinae,Lasiini,Lasius
Lasius_mordicus,Formicinae,Lasiini,Lasius
Lasius_oblongus,Formicinae,Lasiini,Lasius
Lasius_occultatus,Formicinae,Lasiini,Lasius
Lasius_ophthalmicus,Formicinae,Lasiini,Lasius
